Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3N4DI1vuTSX1tz7fa2NQZw,"Rehab","Back To Black (Deluxe Edition)","Amy Winehouse",2006,214946,75,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Universal-Island Records Ltd.",0.407,0.558,0,-13.609,1,0.0552,0.0537,0.00000142,0.34,0.777,71.815,4
spotify:track:6kopmMZiyLmw7h66uXcXR7,"Valerie (feat. Amy Winehouse) - Version Revisited","Version","Mark Ronson;Amy Winehouse",2007-04-16,219413,82,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Columbia",0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,4
spotify:track:79z9QkhHePTFsSeVw9uyj0,"Smile","Alright, Still (Deluxe)","Lily Allen",2006-07-14,196893,76,true,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Parlophone UK",0.632,0.639,5,-5.938,1,0.0259,0.00143,0,0.221,0.733,95.506,4
spotify:track:6dgWWAs5yhWPOtvE1zuoQ1,"Big Girls Don't Cry (Personal)","The Dutchess","Fergie",2006-09-13,268120,73,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Will I Am / Fergie LP1",0.707,0.642,7,-4.271,1,0.0337,0.204,0,0.0925,0.249,113.083,4
spotify:track:2x8evxqUlF0eRabbW2JBJd,"Fluorescent Adolescent","Favourite Worst Nightmare","Arctic Monkeys",2007-04-22,183893,78,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"indie,garagerock","Domino Recording Co",0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,4
spotify:track:6yLX8QnxlnEqZfs3YKCfjF,"Tears Dry On Their Own","Back To Black","Amy Winehouse",2006-10-27,185186,64,true,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Universal-Island Records Ltd.",0.643,0.871,1,-2.734,0,0.118,0.491,0,0.29,0.452,121.569,4
spotify:track:3pD0f7hSJg2XdQ6udw5Tey,"What Goes Around.../...Comes Around (Interlude)","FutureSex/LoveSounds","Justin Timberlake",2006-09-12,448573,80,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Jive",0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.573,0.432,76,4
spotify:track:07K4GcCDSTiXUF5ssyTRUM,"The Sweet Escape","The Sweet Escape","Gwen Stefani;Akon",2006-01-01,246466,76,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Interscope",0.756,0.769,1,-3.502,1,0.0344,0.191,0,0.178,0.73,119.961,4
spotify:track:4Tn2llBm1g0UlWctmgPL8Z,"Shut Up And Drive","Good Girl Gone Bad: Reloaded","Rihanna",2008-06-02,212280,72,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Def Jam Recordings",0.734,0.826,1,-4.909,1,0.0349,0.00101,0.129,0.197,0.74,132.96,4
spotify:track:265Anh9hGoozFigjUVLUeD,"New Shoes","These Streets","Paolo Nutini",2007-01-30,203653,66,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Atlantic Records",0.748,0.735,8,-8.692,1,0.0903,0.47,0.0000109,0.0851,0.854,150.04,4
spotify:track:4RCWB3V8V0dignt99LZ8vH,"Hey There Delilah","All That We Needed","Plain White T's",2005-01-25,232533,80,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Fearless Records",0.658,0.291,2,-10.572,1,0.0292,0.872,0,0.114,0.295,103.962,4
spotify:track:1MBM7CyZbwJpVbbZJnHHRg,"Summer Love","FutureSex/LoveSounds","Justin Timberlake",2006-09-12,252973,77,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Jive",0.606,0.591,0,-7.228,0,0.087,0.0756,0,0.328,0.477,95.802,4
spotify:track:0Kt0khTz1EzjtaQI8A339S,"Starz In Their Eyes","Overtones","Just Jack",2006-01-01,295933,55,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","EMI",0.67,0.8,3,-6.731,1,0.0652,0.00184,0.000356,0.466,0.656,123.802,4
spotify:track:4N0tDOF2bo9JEpSqLNlpjq,"Glamorous","The Dutchess","Fergie;Ludacris",2006-09-13,246600,67,true,saartje_paardestaartje,2026-02-14T17:33:08Z,"dirty south rap","Will I Am / Fergie LP1",0.81,0.76,0,-6.447,1,0.232,0.301,0,0.103,0.56,130.991,4
spotify:track:1lkvpmrCaXK8QtliFDcHBO,"Bubbly","Coco","Colbie Caillat",2007-01-01,196226,73,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Universal Records",0.688,0.477,9,-6.684,1,0.036,0.594,0,0.115,0.257,127.866,4
spotify:track:6RX5iL93VZ5fKmyvNXvF1r,"Irreplaceable","B'Day Deluxe Edition","Beyoncé",2007-05-29,227853,72,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Columbia",0.447,0.694,7,-4.637,0,0.382,0.0293,0.00000546,0.167,0.509,175.868,4
spotify:track:4NeOWqHmlrGRuBvsLJC9rL,"My Love (feat. T.I.)","FutureSex/LoveSounds Deluxe Edition","Justin Timberlake;T.I.",2006-09-13,276160,84,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"dirty south rap","Jive",0.771,0.68,11,-5.881,0,0.224,0.277,0.0000118,0.682,0.808,119.952,4
spotify:track:3FAclTFfvUuQYnEsptbK8w,"Back To Black","Back To Black (Deluxe Edition)","Amy Winehouse",2006,241293,84,true,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Universal-Island Records Ltd.",0.434,0.422,7,-13.964,0,0.0375,0.134,0.0000205,0.0861,0.377,123.201,4
spotify:track:1BV0m40U0M4t1SLIsDnwZl,"1973","All the Lost Souls","James Blunt",2007-09-05,280026,74,false,saartje_paardestaartje,2026-02-14T17:33:08Z,"","Custard/Atlantic",0.72,0.668,9,-7.928,1,0.0269,0.0653,0.00675,0.0789,0.769,123.005,4
