TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0.362679,0.80341,0.507697,0.388136,0.733458,0.417364,0.897748,0.407,0.474633,1.63953,0.897661,0.48183
0.464399093,0.646808,0.858668,0.641189,0.245107,0.745124,0.0944194,1.00436,0.398202,0.177339,1.39949,1.20622,0.500372
0.510839002,0.443227,0.708811,0.593129,0.341697,0.907716,0.107249,0.955027,0.566229,0.249433,1.44966,1.09978,0.711044
0.557278912,0.175884,0.671645,0.563877,0.703864,1.07361,0,0.815877,0.613478,0.280451,1.43557,1.13127,1.10444
0.603718821,0.0998267,1.12411,0.437795,1.08974,1.23725,0,0.685584,0.562358,0.301879,1.27278,1.08532,1.38537
0.650158730,0.373561,1.86329,0.316957,1.19262,1.07134,0.127744,0.822344,0.685753,0.285864,0.899822,0.94175,1.3994
0.696598639,0.436492,1.5631,0.192495,1.0286,0.644394,0.0674319,1.47917,0.922723,0.226882,0.509382,0.736481,1.25301
0.743038549,0.252296,1.27675,0.177498,1.02125,0.570003,0,1.62899,0.974736,0.11749,0.514135,0.723646,1.34269
0.789478458,0.19614,0.795376,0.754456,0.977719,0.450064,0.0269855,1.22717,0.937909,0.415152,0.276819,0.774484,1.5572
0.835918367,0.710038,0.543806,1.16168,0.850135,0.44483,0.311311,0.713393,0.501388,0.899868,0.306567,0.851469,1.40519
0.882358277,1.22209,0.733829,1.2771,0.798316,0.495346,0.182198,0.713132,0.897259,0.502801,0.367375,0.883648,0.719769
0.928798186,1.50687,0.733255,1.3223,0.64515,0.358734,0,0.696716,1.52279,0.13871,0.29876,0.728993,0.0426873
0.975238095,1.48883,0.366564,1.14448,0.444221,0.401387,0.0209134,0.565397,1.86731,0.29306,0.518908,0.456405,0
1.021678005,1.42333,0.0989111,1.10176,0.451602,0.834654,0.0269935,0.168051,1.83074,0.597127,0.576504,0.113085,0.0247697
1.068117914,1.39422,0.186334,1.19978,0.308949,1.93124,0.0237687,0.182278,1.27693,0.651893,0.547197,0.059716,0.704395
1.114557823,1.02368,0.133164,1.01367,0.152055,3.10605,0.126395,0.417507,0.417193,0.97331,0.161388,0.0312495,1.43262
1.160997732,0.304977,0,0.67384,0.0259384,3.75448,0.00132018,0.736019,0.105019,1.3857,0.0373766,0.00824077,2.23027
1.207437642,0.000405252,0.00116143,0.249814,0.0535316,3.76651,0.00182385,0.72628,0.00196847,1.94092,0.00872311,0,2.68247
1.253877551,0.00741005,0.000441164,0.153028,0.0967627,3.68246,0.00465258,0.533201,0.0548901,2.29058,0.142718,0.0097399,2.7804
1.300317460,0.565874,0.053289,0.18792,0.0801215,3.59258,0.00559589,0.56056,0.0547792,2.29984,0.100209,0.0107054,2.24779
1.346757370,0.815024,0.383123,0.395689,0.0129693,3.33849,0.0943483,0.66512,0.0892513,2.01439,0.0608005,0.0037835,1.29413
1.393197279,0.983007,0.491958,0.403663,0.00999667,3.14761,0.178856,0.633989,0.0102206,1.59756,0.0577103,0.0121551,1.88934
1.439637188,0.85445,0.274063,0.236566,0.0739342,3.18513,0.356369,0.912277,0.000872094,1.21015,0.0219029,0.0104335,2.72499
1.486077098,0.790474,0,0.801958,0.107221,2.69482,0.467563,0.955456,0.231925,0.771289,0.0130945,0,2.86626
1.532517007,1.02317,0.0432122,0.978858,0.507294,1.27651,0.432509,0.737989,0.524039,0.596083,0.0795562,0,2.30222
1.578956916,0.869051,0.265148,1.12376,0.45428,0.915212,0.773922,0.497244,0.879508,0.493294,0.133133,4.58227e-06,1.0833
1.625396825,0.127252,1.03231,1.31551,0.0946694,1.53027,0.718728,0.462118,1.10403,0.442635,0.71807,0.032731,0.510938
1.671836735,0.178152,1.23683,1.06192,0.0968964,1.35541,0.40802,0.637287,1.45177,0.354984,1.44363,0.0904991,0.14289
1.718276644,0.254217,1.2735,0.574194,0.191246,1.30614,0.213523,0.507127,1.82845,0.279136,2.04119,0.116477,0.096055
1.764716553,0.232656,1.45145,0.426254,0.118674,1.56449,0.0147538,0.224744,1.40118,0.0975501,2.82932,0.0723247,0.0362031
1.811156463,0.14517,1.79389,0.178722,0.152765,1.92167,0.0282552,0.245052,1.12507,0.00989485,3.37762,0.0237793,0
1.857596372,0.00721602,2.01132,0,0.146112,2.20429,0.00134384,0.318702,1.00824,0.0429331,3.67894,0.0315509,0
