Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:314QzMOrpNUqWBUozYshf6,"Buttons","PCD","The Pussycat Dolls",2005-01-01,225560,76,false,saartje_paardestaartje,2026-02-14T17:32:08Z,"","Pussycat Dolls",0.564,0.817,2,-4.338,1,0.271,0.152,0,0.247,0.478,210.855,4
spotify:track:5p9XWUdvbUzmPCukOmwoU3,"Suddenly I See","Eye To The Telescope","KT Tunstall",2005-01-01,201706,78,false,saartje_paardestaartje,2026-02-14T17:32:08Z,"","Relentless/Virgin",0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,4
spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,"Gold Digger","Late Registration","Kanye West;Jamie Foxx",2005-08-30,207626,81,true,saartje_paardestaartje,2026-02-14T17:32:08Z,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
spotify:track:2bwxqGKS5GPXfNanAIRe2p,"Seven Days in Sunny June","Dynamite","Jamiroquai",2005-06-15,237866,69,false,saartje_paardestaartje,2026-02-14T17:32:08Z,"acid jazz","Sony Music UK",0.707,0.797,7,-7.143,1,0.0435,0.2,0,0.302,0.633,105.397,4
spotify:track:5D2mYZuzcgjpchVY1pmTPh,"Candy Shop","The Massacre","50 Cent;Olivia",2005-03-03,209106,82,true,saartje_paardestaartje,2026-02-14T17:32:08Z,"old school hiphop,east coast hiphop","Aftermath/Shady",0.613,0.574,11,-7.961,1,0.467,0.0253,0.0000313,0.38,0.755,125.18,5
spotify:track:0vg4WnUWvze6pBOJDTq99k,"You're Beautiful","Back to Bedlam","James Blunt",2005-08-08,209493,77,true,saartje_paardestaartje,2026-02-14T17:32:08Z,"","Custard/Atlantic",0.675,0.479,0,-9.87,0,0.0278,0.633,0.0000176,0.088,0.454,81.998,4
spotify:track:0BgbobvykXxEvxo2HhCuvM,"Banana Pancakes","In Between Dreams","Jack Johnson",2005-01-01,191906,71,false,saartje_paardestaartje,2026-02-14T17:32:08Z,"surfrock","Jack Johnson",0.814,0.373,7,-8.017,1,0.116,0.602,0.000017,0.0931,0.632,114.548,4
spotify:track:4Hff1IjRbLGeLgFgxvHflk,"DARE (feat. Shaun Ryder & Roses Gabor)","Demon Days","Gorillaz;Shaun Ryder;Roses Gabor",2005-05-23,244999,82,false,saartje_paardestaartje,2026-02-14T17:32:08Z,"","Parlophone UK",0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,4
spotify:track:6ZyNjT2hYvfV5PuW84dp1E,"1 Thing","Playlist: The Very Best Of Amerie","Amerie",2008,238746,52,false,saartje_paardestaartje,2026-02-14T17:32:08Z,"","Columbia/Legacy",0.636,0.946,10,-4.683,0,0.332,0.115,0.0000375,0.0416,0.891,125.085,5
spotify:track:6G7n1GddtWmdn6pU3d0H7n,"So Easy","Marjorie Estiano","Marjorie Estiano",2005-01-18,236920,39,false,saartje_paardestaartje,2026-02-14T17:32:08Z,"braziliaanse pop,mpb","Universal Music Ltda.",0.776,0.502,0,-6.671,1,0.0347,0.351,0.00000186,0.143,0.666,140.037,4
spotify:track:2Sionb7ZAmdVGH9mieuJ7Z,"Signs","Signs","Snoop Dogg;Charlie Wilson;Justin Timberlake",2004-01-01,236813,50,true,saartje_paardestaartje,2026-02-14T17:32:08Z,"g funk,west coast hiphop,gangsterrap,old school hiphop,hiphop,rap,sexy drill","Geffen",0.94,0.713,7,-5.308,1,0.127,0.0319,0.00076,0.325,0.666,112.955,4
